depth,msa-8,msa-10,msa-12,msa-14,msa-16,msa-20,msa-30,msa-32,msa-36,msa-38,msa-39,msa-40,msa-41,msa-42,msa-43,msa-46,msa-48,msa-49,msa-50
84.5,63.2665,55.235,62.3025,56.342,52.828500000000005,108.29675,89.83324999999999,43.762,95.33,41.916,70.744,80.062,67.6855,52.9235,67.56299999999999,61.47975,95.1085855744875,81.7275,62.41
85.0,59.64,49.7015,61.45725,58.019,51.512,101.9555,83.446,46.305,90.506,47.966,83.5745,62.431,74.21825000000001,58.011,66.122,56.987,82.92940364143755,75.362,71.706
86.0,61.52825,44.168,60.612,59.696,50.1955,95.61425,80.89125,45.04075,85.682,54.016,96.405,44.8,80.751,63.0985,64.681,60.78825,70.7502217083876,68.9965,81.00200000000001
87.0,63.4165,41.93325,75.186,61.373,48.879,89.273,78.3365,43.7765,80.858,48.86925,91.41025,54.5435,89.066,68.186,62.25475,64.5895,65.25561055076756,62.631,90.298
87.5,65.30475,39.6985,89.76,59.268125,62.67075,88.031,75.78175,42.51225,68.337,43.7225,86.41550000000001,64.287,97.381,73.40675,59.8285,68.39075,59.7609993931475,60.619,85.4345
88.0,67.193,37.46375,104.334,57.16325,76.4625,86.789,73.227,41.248,55.816,38.57575,81.42075,74.0305,105.696,78.6275,57.40225,72.192,61.396735811767854,58.607,80.571
89.0,69.22075,35.229,118.908,55.058375,90.25425,85.547,70.94,49.3775,43.295,33.429,76.426,83.774,114.011,83.84825000000001,54.976,65.181,63.0324722303882,56.595,75.7075
90.0,71.2485,36.3305,105.7745,52.9535,104.046,84.305,68.65299999999999,57.507000000000005,30.774,35.4345,82.08175,78.71625,104.14125,89.069,52.571,58.17,63.1900924091131,54.583,70.844
90.5,73.27625,37.432,92.641,50.848625,83.4085,80.1135,66.366,65.63650000000001,38.0225,37.44,87.73750000000001,73.6585,94.2715,82.464,50.166,51.159,63.347712587838,57.601,65.047
91.0,75.304,38.5335,79.5075,48.74375,62.771,75.922,64.079,73.766,45.271,39.4455,93.39325,68.60075,84.40174999999999,75.85900000000001,47.761,44.148,64.27916706328885,60.619,59.25
92.0,70.676,39.635,66.374,46.638875,42.1335,71.7305,63.56725,67.61250000000001,52.5195,41.451,99.049,63.543,74.532,69.254,45.356,49.087500000000006,65.2106215387397,63.637,53.453
