depth,MSA-8,MSA-10,MSA-12,MSA-14,MSA-16,MSA-20,MSA-30,MSA-32,MSA-36,MSA-38,MSA-39,MSA-40,MSA-41,MSA-42,MSA-43,MSA-46,MSA-48,MSA-49,MSA-50
51.0,,7.0832,14.241599999999998,16.505,9.5312,18.158,7.005,29.111,24.456,13.097999999999999,19.4238,22.3322,10.5398,7.545,13.9626,11.9298,30.52731062316385,17.507,14.278
51.5,,6.430400000000001,11.464199999999998,16.893,10.0628,20.4902,6.3654,27.774,21.3266,13.024999999999999,26.3146,22.5094,10.4706,7.9676,16.7842,10.5674,29.4180746671557,18.467000000000002,12.6372
52.0,16.905,5.7776000000000005,8.6868,17.281,10.5944,22.822400000000002,5.7258,26.437,18.1972,12.952,33.205400000000004,22.686600000000002,10.4014,8.3902,19.6058,9.205,29.61613197351817,19.427,10.996400000000001
52.5,14.1148,5.1248000000000005,5.9094,17.669,11.126,25.1546,5.0862,24.942,15.0678,12.879,40.0962,22.8638,10.3322,8.8128,22.4274,8.9172,29.814189279880633,20.387,9.3556
53.0,11.3246,4.472,3.132,18.057,10.556,27.4868,4.4466,23.447,11.9384,12.806,46.987,23.041,10.263,9.2354,25.249,8.6294,30.0122465862431,21.346999999999998,7.7148
54.0,8.534400000000002,5.267250000000001,3.99375,18.445,9.986,29.819,3.807,21.951999999999998,8.809,11.835749999999999,37.651250000000005,23.616,10.3875,9.658,27.683,8.3416,30.6971468081267,22.307,6.074
54.5,5.744200000000001,6.0625,4.8555,17.70275,9.416,27.70175,6.3835,20.457,8.7432,10.8655,28.3155,24.191000000000003,10.512,9.95125,30.116999999999997,8.0538,31.3820470300103,19.362499999999997,12.13825
55.0,2.954,6.857749999999999,5.71725,16.9605,12.245333333333333,25.5845,8.959999999999999,18.962,8.6774,9.89525,18.97975,24.766000000000002,10.6365,10.244499999999999,32.551,7.766,30.8742985015559,16.418,18.2025
56.0,3.6147500000000004,7.653,6.579,16.21825,15.074666666666666,23.46725,11.5365,19.0615,8.6116,8.925,9.644,25.341,10.761,10.537749999999999,34.985,7.9855,30.3665499731015,13.4735,24.266749999999995
57.0,4.2755,10.10675,8.532,15.476,17.904,21.35,14.113,19.161,8.5458,7.914250000000001,9.16775,24.656,11.773,10.831,35.31975,8.205,30.64359243285215,10.529,30.331
57.5,4.93625,12.560500000000001,10.485,15.3445,16.0775,21.51,16.42025,19.2605,8.48,6.9035,8.6915,23.971,12.785,12.74875,35.6545,8.4245,30.9206348926028,14.649750000000001,26.444499999999998
58.0,5.597,15.01425,12.437999999999999,15.213000000000001,14.251000000000001,21.67,18.7275,19.36,7.69,5.8927499999999995,8.21525,23.286,13.796999999999999,14.6665,35.98925,8.644,31.24951623273075,18.7705,22.558
59.0,4.852,17.468,14.391,15.0815,12.4245,21.83,21.03475,15.835999999999999,6.9,4.882,7.739,22.601,14.809,16.584249999999997,36.324,11.522,31.5783975728587,22.89125,18.6715
60.0,4.107,24.73025,14.60125,14.95,10.598,21.99,23.342,12.312,6.11,4.75125,9.718,20.47025,17.720499999999998,18.502,36.333,14.399999999999999,31.533524077121,27.012,14.785
